Index,NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
Kachi Plain (-7000),Kachi Plain,PkAcerN,-7000,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6900),Konya Plain,TrNeoCR,-6900,1.529889262,4.1037729689999995,2.8906702660000003,1.1968380459999999,0.0,0.0,0.2,0.0,0.0
Susiana (-6900),Susiana,IrArcha,-6900,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6900),Kachi Plain,PkAcerN,-6900,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Susiana (-6800),Susiana,IrArcha,-6800,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6800),Kachi Plain,PkAcerN,-6800,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6800),Konya Plain,TrNeoCR,-6800,1.529889262,4.1037729689999995,2.8906702660000003,1.1968380459999999,0.0,0.0,0.2,0.0,0.0
Susiana (-6700),Susiana,IrArcha,-6700,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Konya Plain (-6700),Konya Plain,TrNeoCR,-6700,1.529889262,4.1037729689999995,2.8906702660000003,1.1968380459999999,0.0,0.0,0.2,0.0,0.0
Kachi Plain (-6700),Kachi Plain,PkAcerN,-6700,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6600),Konya Plain,TrNeoLT,-6600,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
Susiana (-6600),Susiana,IrArcha,-6600,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6600),Kachi Plain,PkAcerN,-6600,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6500),Konya Plain,TrNeoLT,-6500,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
Susiana (-6500),Susiana,IrArcha,-6500,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6500),Kachi Plain,PkAcerN,-6500,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6400),Konya Plain,TrNeoLT,-6400,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
Susiana (-6400),Susiana,IrArcha,-6400,1.355693541,2.9247777360000002,2.5236823459999997,1.0,0.1,0.214285714,0.0,0.0,1.0
Kachi Plain (-6400),Kachi Plain,PkAcerN,-6400,1.13910982,0.540739576,2.664469895,0.49432869700000004,0.027272727000000004,0.275,0.0,0.0,1.8
Konya Plain (-6300),Konya Plain,TrNeoLT,-6300,2.88777534,3.817997235,3.734491417,3.912507609,0.0,0.0,0.166666667,0.0,0.0
